Time,Thrust_0deg_kg,Thrust_90deg_kg,Thrust_180deg_kg,Thrust_270deg_kg,Total_Weight,Thrust,RPM,Cmd_RPM,Torque,Motor_Temp,ESC_Temp,Current,Voltage,Output_Voltage_V,Battery_Voltage_V,Bus_Voltage_V,Power,ESC_Pressure,ESC_Flow,Motor_Inlet_Temp_C,ESC_Inlet_Temp_C,Accel_X,Accel_Y,Accel_Z,Motor_Flow,Fin_Inlet_Temp_C,Fin_Outlet_Temp_C
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.162,6.67,34.9,34.6,-0.019,0.002,-1.002,0,373.3,35.2
0.054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.162,6.67,34.9,34.6,-0.019,0.002,-1.002,0,373.3,35.2
0.111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.165,6.67,34.9,34.6,-0.019,0.002,-1.002,0,373.3,35.2
0.168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.16,6.67,34.9,34.6,-0.019,0.002,-1.002,0,373.3,35.2
0.222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.16,6.67,34.9,34.6,-0.019,0.002,-1.002,0,373.3,35.2
0.276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.16,6.67,34.9,34.6,-0.019,0.002,-1.002,0,373.3,35.2
0.331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.16,6.67,34.9,34.6,-0.019,0.002,-1.002,0,373.3,35.2
0.387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.159,6.67,34.9,34.6,-0.02,0.002,-1.002,0,373.3,35.2
0.442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.159,6.67,34.9,34.6,-0.02,0.002,-1.002,0,373.3,35.2
0.496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.159,6.67,34.9,34.6,-0.02,0.002,-1.002,0,373.3,35.2
